"replicate","scenario","interim_n","information_fraction","ATE_hat","mean_CATE_hat","sd_CATE_hat","min_CATE_hat","max_CATE_hat","fraction_negative_CATE","fraction_CATE_meaningfully_harmed","mean_true_CATE"
228,"A_threshold",3400,0.85,-0.0140827904090768,-0.0136306692109932,0.0286959512260211,-0.111359905681715,0.131420991619754,0.704411764705882,0.434411764705882,-0.00930588235294118
228,"A_threshold",4000,1,-0.0135834773702068,-0.0132398657180087,0.0290410380040275,-0.11457633105716,0.131277070441197,0.6925,0.4265,-0.00923
228,"B_smooth_logistic",1000,0.25,-0.0400154400411734,-0.0405326246759751,0.0126279307572549,-0.0606772580836482,-0.0165351877859395,1,0.939,-0.0372831339983993
228,"B_smooth_logistic",1600,0.4,-0.0281899876454478,-0.0283414473515351,0.00110381131375355,-0.0298399506092514,-0.0259699643094785,1,1,-0.0372380579427938
228,"B_smooth_logistic",2200,0.55,-0.0315349342663274,-0.031661799527807,0.0089774923450526,-0.0482216534999532,-0.0166307091639416,1,0.885909090909091,-0.0371178291813771
228,"B_smooth_logistic",2800,0.7,-0.0297794117647059,-0.029792710959768,0.00681440140525874,-0.0419919703758043,-0.0181531276193089,1,0.920714285714286,-0.0372257394261133
228,"B_smooth_logistic",3400,0.85,-0.0274650920881864,-0.0273942723732901,0.0132513383003721,-0.0512927917887832,-0.00502792341980134,1,0.657941176470588,-0.0371880163576538
228,"B_smooth_logistic",4000,1,-0.0305468677921741,-0.0303580389386188,0.00844306538554476,-0.0457954209452624,-0.0164210357277978,1,0.86375,-0.0371667943173204
229,"A_threshold",1000,0.25,-0.0323201292805171,-0.0323314770120002,0.0156525800598135,-0.0694562844494054,0.0236706898143924,0.969,0.795,-0.00976
229,"A_threshold",1600,0.4,-0.0233023302330233,-0.0232509170404988,0.0198776626825792,-0.0821382482904727,0.0514234833333713,0.8775,0.574375,-0.009775
229,"A_threshold",2200,0.55,-0.0134768706420419,-0.0133667988090475,0.0260016302840503,-0.0976785583198844,0.072002362522163,0.686818181818182,0.387272727272727,-0.0096
229,"A_threshold",2800,0.7,-0.0179862336664458,-0.0177379563074862,0.0205344794188104,-0.0982247599505159,0.0442708360671453,0.804285714285714,0.431428571428571,-0.00961428571428571
229,"A_threshold",3400,0.85,-0.0191589017888285,-0.0189979904003839,0.0210193420526446,-0.0978239590317014,0.0473921787658214,0.815294117647059,0.466176470588235,-0.00972941176470588
229,"A_threshold",4000,1,-0.0170954273856846,-0.0170026136146219,0.0209854717134697,-0.0940904574864819,0.0519101845979573,0.791,0.42825,-0.00965
229,"B_smooth_logistic",1000,0.25,-0.0441583588036677,-0.0431332116557443,0.0477503036704793,-0.136257379708825,0.0308446920832906,0.762,0.622,-0.037348323972236
229,"B_smooth_logistic",1600,0.4,-0.0483471771698573,-0.0481157472139141,0.0375708386331509,-0.121104084211072,0.0105817030544348,0.890625,0.70625,-0.0372479027133049
229,"B_smooth_logistic",2200,0.55,-0.0476692506459948,-0.0478466113727232,0.0315111942226906,-0.1098781982088,0.000259861647818396,0.995,0.750909090909091,-0.0375194150284115
229,"B_smooth_logistic",2800,0.7,-0.0466744933898219,-0.0467973003889054,0.0320628509476902,-0.10478953735566,0.00700027839361179,0.926785714285714,0.741428571428571,-0.0375459764380097
229,"B_smooth_logistic",3400,0.85,-0.0495080356428774,-0.0496213369228956,0.0206718194796944,-0.0862068149633369,-0.0139540117066882,1,0.914705882352941,-0.0376249918508378
229,"B_smooth_logistic",4000,1,-0.0496640100015627,-0.049950577972347,0.0223619080776809,-0.0906101143645471,-0.0127993735589912,1,0.8945,-0.0376532961476853
230,"A_threshold",1000,0.25,0.0106301229508197,0.0101141798583883,0.0302466981936119,-0.0626869510682959,0.151098359736312,0.398,0.156,-0.0098
230,"A_threshold",1600,0.4,0.0150083987655768,0.0153265177296135,0.0101106798734012,-0.00640963501559091,0.0640232637795273,0.04125,0,-0.009775
230,"A_threshold",2200,0.55,0.00496429099921547,0.00494102362312364,0.00456222852212725,-0.00487049076186014,0.0266665157807657,0.131818181818182,0,-0.0101818181818182
230,"A_threshold",2800,0.7,0.00502106397570294,0.00520493903624066,0.00799406867017224,-0.0123895445507379,0.0428507048865779,0.271428571428571,0,-0.0100857142857143
230,"A_threshold",3400,0.85,-0.00557991107438463,-0.00539345232191683,0.00547785053264459,-0.0156863424806346,0.0225814481075397,0.842058823529412,0,-0.0100941176470588
230,"A_threshold",4000,1,-0.00312797599626573,-0.00323158782679295,0.00968154060022534,-0.0221927109686485,0.0548214584572244,0.68175,0.0035,-0.01026
230,"B_smooth_logistic",1000,0.25,-0.0159031170109342,-0.0158978385436233,0.00484635198812842,-0.0241574666971527,-0.00767020519660436,1,0.269,-0.0370251443636115
230,"B_smooth_logistic",1600,0.4,-0.0218456197040271,-0.0217339634605311,0.0125083498124809,-0.0437917360785581,-0.001109676669704,1,0.531875,-0.0369561303486574
230,"B_smooth_logistic",2200,0.55,-0.0248532211996192,-0.0245832029036393,0.0098586692053383,-0.042582528559843,-0.00858809284828681,1,0.616363636363636,-0.0370905605386585
230,"B_smooth_logistic",2800,0.7,-0.0253414428943806,-0.025042694426093,0.00814785954256344,-0.0402120785799903,-0.0121779710019685,1,0.66,-0.0370727391177795
230,"B_smooth_logistic",3400,0.85,-0.0328117025233782,-0.0325235294883811,0.00591419300011881,-0.0435211917388754,-0.0231619693496722,1,1,-0.0370741860242788
230,"B_smooth_logistic",4000,1,-0.0333640157047731,-0.0330821339304703,0.00890286504400475,-0.0496894271256098,-0.0190628937364396,1,0.959,-0.0371835563019161
231,"A_threshold",1000,0.25,-0.0186430905246973,-0.018316342368557,0.00504544431031828,-0.0365921514231507,-0.00458069012462135,1,0.366,-0.01004
231,"A_threshold",1600,0.4,-0.0223208969722798,-0.0223647496731644,0.0130758051644934,-0.0713942238284083,0.012878785461732,0.978125,0.5425,-0.01045
231,"A_threshold",2200,0.55,-0.0321391945212147,-0.0318821766232596,0.0113209118948257,-0.0741226202127426,-0.00244545170061888,1,0.852272727272727,-0.0102363636363636
231,"A_threshold",2800,0.7,-0.0365817777632482,-0.0362101594463776,0.00986023621556674,-0.0737620284863097,-0.00979347103522449,1,0.970714285714286,-0.0100571428571429
231,"A_threshold",3400,0.85,-0.0263675391220053,-0.0258247910991008,0.0117374856751103,-0.0795056865620044,0.00465073998891274,0.996764705882353,0.660588235294118,-0.0100588235294118
231,"A_threshold",4000,1,-0.0268582253315078,-0.026441618436406,0.00624958447722673,-0.0528324326757192,-0.00841303471641994,1,0.853,-0.01012
231,"B_smooth_logistic",1000,0.25,-0.0687083973374296,-0.0687394510218786,0.0274449149783823,-0.111531865710431,-0.0146997586638173,1,0.96,-0.0369505616699389
231,"B_smooth_logistic",1600,0.4,-0.0555732772909513,-0.0555116908524765,0.0357919029946269,-0.119609920031246,0.00536642731401463,0.954375,0.79625,-0.0368631609813153
231,"B_smooth_logistic",2200,0.55,-0.0517645345758763,-0.0516118801578837,0.0371573979131798,-0.121858209599917,0.00715096526819313,0.924090909090909,0.740454545454545,-0.0366953101560448
